id,completed_ts,date,Cardio_caloriesOut,Cardio_max,Cardio_min,Cardio_minutes,Fat Burn_caloriesOut,Fat Burn_max,Fat Burn_min,Fat Burn_minutes,NumberSteps,Out of Range_caloriesOut,Out of Range_max,Out of Range_min,Out of Range_minutes,Peak_caloriesOut,Peak_max,Peak_min,Peak_minutes,RestingHeartRate,Sleep1BeginTimestamp,Sleep1Efficiency,Sleep1EndTimestamp,Sleep1MinutesAwake,Sleep1MinutesStageDeep,Sleep1MinutesStageLight,Sleep1MinutesStageRem,Sleep1MinutesStageWake,Sleep2BeginTimestamp,Sleep2Efficiency,Sleep2EndTimestamp,Sleep2MinutesAwake,Sleep2MinutesStageDeep,Sleep2MinutesStageLight,Sleep2MinutesStageRem,Sleep2MinutesStageWake,Sleep3BeginTimestamp,Sleep3Efficiency,Sleep3EndTimestamp,Sleep3MinutesAwake,Sleep3MinutesStageDeep,Sleep3MinutesStageLight,Sleep3MinutesStageRem,Sleep3MinutesStageWake,SleepMinutesAsleep,SleepMinutesInBed,SleepPerDay,audio_0,audio_1,audio_2,audio_3,audio_4,audio_5,audio_6,audio_7,audio_8,audio_9,audio_10,audio_11,audio_12,audio_13,audio_14,audio_15,audio_16,audio_17,audio_18,audio_19,audio_20,audio_21,audio_22,audio_23,audio_24,audio_25,audio_26,audio_27,audio_28,audio_29,audio_30,audio_31,audio_32,audio_33,audio_34,audio_35,audio_36,audio_37,audio_38,audio_39,audio_40,audio_41,audio_42,audio_43,audio_44,audio_45,audio_46,audio_47,audio_48,audio_49,audio_50,audio_51,audio_52,audio_53,audio_54,audio_55,audio_56,audio_57,audio_58,audio_59,audio_60,audio_61,audio_62,audio_63,audio_64,audio_65,audio_66,audio_67,audio_68,audio_69,audio_70,audio_71,audio_72,audio_73,audio_74,audio_75,audio_76,audio_77,audio_78,audio_79,audio_80,audio_81,audio_82,audio_83,audio_84,audio_85,audio_86,survey_type,delivered_ts,started_ts,activity,location,atypical,stress,stressor_partner,stressor_fam,stressor_breakdown,stressor_money,stressor_selfcare,stressor_health,stressor_otherhealth,stressor_household,stressor_child,stressor_discrimination,stressor_none,moststressful,moststressful_time,work_location,attend_fidam,attend_fidpm,attend_hasp,attend_pgy1did,attend_pgy2did,attend_pgy3did,attend_none,work_start,work_end,jobperformance,jobperformance_best,jobsatisfaction,sleepquant,sleepqual,jobperformance2
0b98b2dd-0437-44f5-b366-edcc48311449,2020-03-28 18:18:00-07:00,2020-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485.7038216560509,14.857038216560513,111.890194442797,317.03869688217253,0.0121436789112976,0.1402541718646806,2.704891053556567e-07,0.3703435950121072,0.0291293500453392,0.0051612877143872,440.7273632844324,699.0531727528755,1171.3313929570809,1928.0293153379027,0.0660012639638402,939.1346553102368,4.00898683009997,1231591.2196328265,6.110415552386905,140.7344951199379,-0.0092544480026244,0.7307066221609371,0.0210846069062355,13.249984014877317,0.3888050574510461,0.0008278904905074,0.0006934017955378,0.0052856796776911,-95.7484520004342,858.2045019333251,8.582045019333245,148.9562841030366,65.79727772041524,0.0091756125278452,0.0977544862259552,7.035805243159566e-07,0.2586219777201249,0.0574798636927478,0.0117046874955433,586.9056159093557,864.6547979352157,1206.0619757164998,1562.601937856114,0.0537515022643351,764.8680404269655,0.9758491575121844,1353155.8799959396,5.29228839665457,265.3748862163907,0.0148443831825456,0.4836265498516292,0.0370671433653535,50.20001026190295,0.2197634891412239,0.0050179028194848,0.0048953505689332,0.0212131141903693,14.27461394462778,2971.4076433121018,29.714076433121026,483.0857738853493,450.7789343949047,0.0759413149363057,0.6422133757961785,1.3817402761770695e-05,1.967605170700638,0.8989181654719745,0.2460013779870701,4975.517515923567,5884.753184713376,6700.437898089172,7247.412420382166,0.5814300169426754,5310.758546496815,6.775551248407637,9364510.057324842,47.42547233121021,3922.274008089172,0.0024677251041982,3.664658832484077,0.5691616987343947,373.3539828025477,0.7463718191082803,0.1037762530382165,0.1130310877961783,0.2738171481528662,-12.898627044585988,endofday,2020-03-28 18:15:00-07:00,2020-03-28 18:15:04-07:00,1,2,,3,0,0,0,0,0,0,0,0,0,0,1,COVID-19,3,1,0,0,0,0,0,0,1,6:00am,6:00pm,3,procedure,4,6,3,4
0b98b2dd-0437-44f5-b366-edcc48311449,2020-03-11 18:18:25-07:00,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2384.9375,23.849375,74.70992680092098,332.33983943522696,0.0375440541893823,0.0951873474893582,2.2939590012953013e-06,0.7586950143733172,0.2553401605401031,0.0329887359591672,309.96064198714225,458.4955069737106,705.0596291761804,1164.7388193851828,0.2318263498623651,613.5529351332209,4.083882740696024,637788.2145625718,6.057026907726083,99.4061194147135,-0.0787200413963814,0.5618021177182805,0.1916394698868328,4.806295677740325,0.5627314725898127,0.0002029959477058,0.0001500661883,0.001789371071672,-98.18061937356562,1377.3773126671738,13.773773126671731,136.59568835019112,63.713522196031775,0.0303205241826909,0.051646568618864,7.148832260779e-06,0.5123295932762169,0.5472479240612103,0.0966722830897598,208.9713483001291,338.9571752113937,590.8328410818114,1010.0715739830832,0.1941421805689427,358.89101616896085,0.7483495709949944,925013.8282194248,3.5488867478530977,138.01665153657075,0.1485361378057775,0.2446885959259344,0.3798575591732557,30.47173699504264,0.0608762662643841,0.0018077482485029,0.001548284524148,0.0131202843040822,10.587960206560387,4769.875,47.69875,484.8485,455.7151390624999,0.2459418873437499,0.5031249999999999,0.0001602958640937,4.315072234375,8.626933232812497,2.146157061109375,3176.26953125,4669.43359375,5914.0625,6753.41796875,2.3794217921875003,4166.67484375,6.785910312499998,7763777.921875,36.14467921875001,2367.4689984374995,0.0198266471392187,2.8558942,4.904802451562499,349.16388750000004,0.7502455625000001,0.0486428931093749,0.0499880172656249,0.279207371875,1.8209035156249989,endofday,2020-03-11 18:15:00-07:00,2020-03-11 18:15:22-07:00,8,1,,2,0,0,0,0,0,0,0,0,0,0,1,new rotation,2,1,0,0,0,0,0,0,1,6:30am,4:30pm,4,none,3,6,3,3
0b98b2dd-0437-44f5-b366-edcc48311449,2020-03-12 23:23:06-07:00,2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endofday,2020-03-12 18:15:00-07:00,2020-03-12 23:21:39-07:00,6,1,,2,0,0,0,0,0,0,0,0,0,0,0,, ,1,0,0,0,0,0,0,1,6:00am,6:45pm,4,,3,6,2,3
0b98b2dd-0437-44f5-b366-edcc48311449,2020-03-13 22:23:13-07:00,2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endofday,2020-03-13 18:15:00-07:00,2020-03-13 22:21:45-07:00,5,1,,1,0,0,0,0,0,0,0,0,0,0,0,, ,1,0,0,0,0,0,0,1,6:30am,7:00pm,5,,3,6,2,2
0b98b2dd-0437-44f5-b366-edcc48311449,2020-03-25 18:17:47-07:00,2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4486.191489361702,44.86191489361687,103.22157290500436,317.9813364325408,0.0304594164035462,0.0890892313075415,1.9870683704560563e-06,0.6323922495980796,0.1838083943678505,0.0174432557577307,288.7109035641871,436.6519429318319,687.4001420599905,1115.687394858801,0.1789135336990097,583.3656296204563,3.7658403958161792,613682.0706894454,7.361018041223358,167.4087659771506,-0.071870626512259,0.5102626244354492,0.1434317641617383,3.4126886611386107,0.4779456697914158,0.000157457362929,0.000124884033024,0.0012249890336774,-98.71635767850071,2590.536869503665,25.905368695036657,145.94040406654298,63.927189256241455,0.0253631139879635,0.0608053844476381,5.655969922477558e-06,0.4525274233053503,0.4251423385578237,0.0510844271333747,272.4911795704127,427.3339817473551,695.4605341741579,1093.7622389012845,0.1517603021561864,447.1861651485671,0.8349818604072141,961560.9666569864,5.277052297691228,282.3130110027784,0.1215864891701056,0.2947038388749447,0.283512462807138,24.354698418151447,0.114218528230563,0.0017358436100312,0.0016308651034413,0.0100030467380599,8.09778731416839,8972.382978723404,89.7238297872338,484.81057340425326,454.0513244680851,0.2025037704255319,0.4957845744680851,0.0001115917518212,3.663178155851064,6.547335702271278,1.038184141786596,3357.546542553192,4618.849734042553,5835.771276595745,6700.29920212766,1.6996571888297884,4239.0525090425535,6.9323841382978735,7841673.014893617,49.08450095744684,4837.186984574467,0.0105393831515239,2.9071984696808504,3.849220487579784,324.6746739361703,0.7256949340425535,0.0527403842606383,0.0562245224946808,0.2292777807978723,-16.779436643617014,endofday,2020-03-25 18:15:00-07:00,2020-03-25 18:16:34-07:00,1,2,,1,0,0,0,0,0,0,0,0,0,0,1,, ,1,0,0,0,0,0,0,1,6:00am,6:00pm,4,,3,8,2,3
0b98b2dd-0437-44f5-b366-edcc48311449,2020-03-17 21:49:05-07:00,2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1861.25,18.612500000000004,57.89153358957145,332.6237572910734,0.0516297759558523,0.1225312721986487,3.226796587402227e-06,0.941031148547462,0.2997196195567923,0.0709323096666226,398.8406615890658,620.0663075760946,1008.9610468954024,1630.140091469469,0.3316777676901841,822.6808198793307,4.267432058128523,928900.191814532,4.241031204959746,53.93596323950761,-0.1071465633944245,0.6741370942116587,0.2304439675573019,3.118253113790005,0.4825540528610698,0.0002721160044464,0.0002081121492219,0.0013187766900171,-98.90884451064063,1075.026191387277,10.750261913872786,122.61882849727924,72.39110167086044,0.0317784040108565,0.0863010558606075,7.653690061939218e-06,0.5870224257849399,0.4999468109042282,0.1472209924070666,523.4198113083814,725.3765616713644,1013.3123698484176,1390.136976835028,0.2132930316693135,677.1046328916105,0.8215578645287673,1225427.4602529784,3.046968332879272,87.29631148517078,0.1501958726077656,0.4464608010922906,0.3499242966067811,21.559022493862432,0.1351902282344165,0.0024362001441744,0.0021487618377233,0.0102806490939817,6.88514496400402,3722.5,37.22500000000001,484.402865625,454.569965625,0.2173888384374999,0.5953124999999997,0.0001292996437499,4.061399875000001,5.619328146875,2.09297420625,4344.7265625,5405.2734375,6554.6875,7174.8046875,2.079343671875,4989.445,6.8372086250000015,8921590.375,29.900829687499986,1697.8419343750002,0.167996088831875,3.4498413125000007,3.536128643750001,223.00976875,0.719091603125,0.0525253934375,0.0548027865624999,0.18185225,-37.254121875,endofday,2020-03-17 18:15:00-07:00,2020-03-17 21:47:37-07:00,3,1,,3,0,0,0,0,0,0,1,0,0,0,0,,3,1,0,0,0,0,0,0,1,6:00am,6:00pm,3,,4,6,2,4
0b98b2dd-0437-44f5-b366-edcc48311449,2020-03-21 18:19:45-07:00,2020-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endofday,2020-03-21 18:15:00-07:00,2020-03-21 18:18:41-07:00,1,2,,2,0,0,0,0,0,0,0,0,0,0,1,, ,1,0,0,0,0,0,0,1,6:00am,6:00pm,4,,3,7,2,3
0b98b2dd-0437-44f5-b366-edcc48311449,2020-03-16 18:19:45-07:00,2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2127.2246376811595,21.27224637681157,92.11703455692046,324.7642436687396,0.0286682952963732,0.0784654842208163,1.4180972381363587e-06,0.6435023784661608,0.1610561463496114,0.019401293808256,312.1488089127055,442.5226024020693,620.7938076840201,897.5498405407873,0.170610680076082,530.8734284652312,3.918554759575685,285962.86858234723,5.645544471110875,97.6338224187012,-0.0500740031363222,0.5122099360471044,0.1218888222773073,4.843427739650004,0.5712315730365729,0.0002096083146163,0.0001625617268763,0.0018377557735707,-98.20192213030514,1228.586721150444,12.285867211504437,144.73039876644074,64.88717457559726,0.0257901250923803,0.0378874469158908,5.08989260050499e-06,0.457301956133664,0.4095516429782823,0.0665341143484541,177.00864819443,258.94906623627384,406.3125179100856,653.0678199244111,0.1539412598076039,264.1532318728966,0.716897032853408,544247.0523552129,3.603826640748063,156.6657957045432,0.1119257847065613,0.1887969274725075,0.2876087550776273,32.29949054584801,0.0675580043701811,0.0020347684023116,0.0018003702754057,0.0142322033039,10.994713772372972,4254.449275362319,42.54449275362313,484.64773478260855,453.9007094202899,0.212754066231884,0.4268478260869566,0.0001127253893115,3.863251963768116,6.36458373115942,1.4416168094927535,2500.4528985507245,3993.659420289855,5453.351449275362,6539.855072463768,1.8964518731884057,3595.952582608696,6.714550898550727,6860921.043478261,39.02155949275364,3231.8279905797094,0.0045503455937079,2.4388748398550737,3.90589043768116,388.5139166666664,0.7537535753623191,0.0589067459492753,0.0572769065,0.3006526210144928,6.642001514492751,endofday,2020-03-16 18:15:00-07:00,2020-03-16 18:15:49-07:00,1,2,Daily Hassle,4,0,0,0,0,0,0,1,0,0,0,0,, ,1,0,0,0,0,0,0,1,6:00am,6:00pm,4,,3,6,3,3
0b98b2dd-0437-44f5-b366-edcc48311449,2020-03-16 15:57:41-07:00,2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112.4512987012986,21.124512987012945,91.41543435419096,324.93405664314594,0.0218419769374729,0.0758039946022863,9.630844556336086e-07,0.5343765996158758,0.1134504135864758,0.0134897658667834,299.3734880158775,423.9488081114567,594.4346854804037,854.0985679051656,0.133064133860261,508.7195537872108,3.869796663266576,272190.67315818986,6.451211946576595,117.02522296692337,-0.0342850929668439,0.4937616035169456,0.0817050356004402,4.542411685495083,0.5654272338380211,0.0001927898232807,0.0001514232874781,0.0016770275655819,-98.27137196006916,1220.0573299101816,12.200573299101825,144.8040528101426,61.71184255865781,0.0216360158012512,0.0363538361069022,3.86204278158136e-06,0.3981810526173951,0.3210090849933269,0.0497754846983394,171.5499678063523,245.57273673550728,376.8975196841873,608.5962550363689,0.1348677742390016,248.61906864857977,0.7049434877732104,498639.41467189207,3.943048525957378,185.9024071017612,0.0877283155678208,0.180672583148301,0.216776630464811,30.062589425918645,0.0752453354792437,0.0018614326723189,0.0017072851648944,0.0129456454770329,10.281941192127263,4224.902597402597,42.24902597402589,484.6685935064926,450.6700564935064,0.1897087139610389,0.4091071428571427,9.46602695279188e-05,3.5455377811688287,5.461497764285714,1.131577125233766,2255.681818181818,3765.219155844156,5162.743506493506,6347.402597402597,1.779189048701299,3391.314045454544,6.61643955844156,6490210.551948052,42.54741019480521,3660.00673181818,0.0029443057982694,2.288880125974027,3.2076785672077945,364.0735837662338,0.7498363454545455,0.0553378486233766,0.0566976170584415,0.2757040682467532,0.7132453311688318,midday,2020-03-16 12:15:00-07:00,2020-03-16 15:57:36-07:00, , ,,3,0,0,0,0,0,0,0,0,0,0,0,, , ,0,0,0,0,0,0,0, , , ,, , , ,
0b98b2dd-0437-44f5-b366-edcc48311449,2020-03-14 16:00:38-07:00,2020-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2173.158064516129,21.731580645161248,72.56957749363927,300.8281089595512,0.0451966616144382,0.0769171260856657,3.047700561676964e-06,0.8514844335515634,0.3691545862778471,0.0378030514525348,303.15058349505904,436.9531762569434,620.2200375459871,899.3059276871926,0.2655697869253998,523.0359452614412,3.977042946134812,278817.94443894614,4.825430738496423,80.16455014133763,-0.1079968230742386,0.5081615856991885,0.2614230603260805,3.771822313845429,0.5739836751041957,0.0001733801430871,0.0001284044525479,0.0013145408636662,-98.52113034404984,1255.106397757249,12.551063977572475,127.54129199857108,69.96707397552449,0.035458504234831,0.0373576058842543,8.480194847333035e-06,0.582448069005076,0.7328659446481951,0.0986703421508938,170.0976292066413,251.7911946028379,402.5382036021129,652.1463478815355,0.2107922989049455,256.0307124338748,0.6942343183936525,588280.2867230037,3.101894186145341,133.02384984500677,0.1808357326074806,0.1870915053920211,0.4833887793973676,26.38823381534801,0.0518224333184524,0.0019317497251532,0.0016248419939937,0.0111496644207418,9.600482111957197,4346.316129032258,43.463161290322496,483.7195064516121,446.86057225806456,0.2558017210967743,0.4148870967741935,0.0001503098091741,4.334378696774192,10.19966675935484,1.847032799225805,2228.0241935483878,3685.282258064516,5298.991935483871,6417.943548387097,2.137074932258064,3379.8893096774204,6.582140141935487,6929690.948387097,32.563083935483874,2419.6251148387096,0.0026115581771419,2.3213580722580645,5.813632935483871,340.0841077419357,0.7464622038709682,0.0614818442374193,0.0548420062838709,0.2508940250967741,2.84239066451613,midday,2020-03-14 12:15:00-07:00,2020-03-14 16:00:31-07:00, , ,,2,0,0,0,0,0,0,0,0,0,0,0,, , ,0,0,0,0,0,0,0, , , ,, , , ,
